Genero_Usuario,Idade_Usuario,Veiculo,Loja_Aluguel,Data_Aluguel,Hora_Aluguel,Loja_Devolucao,Data_Devolucao,Hora_Devolucao
M,44,12059,182,01/02/2020,0:32:11,54,01/02/2020,0:38:40
F,25,10348,242,01/02/2020,0:34:00,476,01/02/2020,0:44:55
M,37,11549,242,01/02/2020,0:34:32,476,01/02/2020,0:44:51
M,41,15171,360,01/02/2020,0:35:49,139,01/02/2020,1:20:27
M,31,12052,442,01/02/2020,0:36:53,374,01/02/2020,0:45:59
M,58,9758,47,01/02/2020,0:39:00,68,01/02/2020,0:46:04
M,49,8025,295,01/02/2020,0:40:52,302,01/02/2020,0:46:21
M,30,9762,28,01/02/2020,0:41:26,132,01/02/2020,0:52:47
M,63,7190,15,01/02/2020,0:41:34,80,01/02/2020,0:55:04
M,46,9964,15,01/02/2020,0:41:45,80,01/02/2020,0:54:34
M,28,11946,117,01/02/2020,0:42:37,191,01/02/2020,0:58:47
F,33,1908,147,01/02/2020,0:44:11,165,01/02/2020,0:49:15
F,28,12282,146,01/02/2020,0:46:07,165,01/02/2020,0:51:34
M,31,11645,64,01/02/2020,0:47:45,79,01/02/2020,0:54:57
F,22,7044,68,01/02/2020,0:48:17,164,01/02/2020,0:58:32
M,38,9655,242,01/02/2020,0:49:08,465,01/02/2020,0:56:39
M,55,10928,76,01/02/2020,0:49:24,103,01/02/2020,1:08:52
M,46,12347,45,01/02/2020,0:50:40,293,01/02/2020,1:04:37
M,30,10964,414,01/02/2020,0:51:44,446,01/02/2020,1:06:07
M,31,7679,173,01/02/2020,0:51:56,146,01/02/2020,1:03:11
M,37,11624,143,01/02/2020,0:54:25,129,01/02/2020,1:05:06
M,30,7341,147,01/02/2020,0:54:32,146,01/02/2020,0:58:18
M,37,8289,143,01/02/2020,0:54:40,129,01/02/2020,1:01:49
F,44,10112,83,01/02/2020,0:56:07,319,01/02/2020,1:08:17
M,31,8599,130,01/02/2020,0:58:34,118,01/02/2020,1:03:48
M,19,7928,417,01/02/2020,0:58:45,415,01/02/2020,1:06:47
F,30,9825,46,01/02/2020,1:06:48,45,01/02/2020,1:09:12
M,31,7955,74,01/02/2020,1:07:04,182,01/02/2020,1:12:04
M,28,10010,24,01/02/2020,1:09:54,112,01/02/2020,1:24:40
F,25,11687,24,01/02/2020,1:10:17,112,01/02/2020,1:24:07
M,37,7601,134,01/02/2020,1:10:58,123,01/02/2020,1:16:20
F,30,7309,45,01/02/2020,1:11:45,60,01/02/2020,1:15:36
F,46,11223,63,01/02/2020,1:12:19,295,01/02/2020,1:30:03
M,38,7872,129,01/02/2020,1:13:39,120,01/02/2020,1:17:50
M,27,10809,136,01/02/2020,1:13:39,134,01/02/2020,1:15:07
M,40,11051,134,01/02/2020,1:15:09,117,01/02/2020,1:21:28
M,26,4138,298,01/02/2020,1:16:29,134,01/02/2020,1:31:11
M,34,11616,277,01/02/2020,1:18:39,136,01/02/2020,1:26:02
M,31,6906,161,01/02/2020,1:19:05,146,01/02/2020,1:23:51
M,35,7671,238,01/02/2020,1:20:11,210,01/02/2020,1:25:55
M,19,8244,146,01/02/2020,1:21:50,159,01/02/2020,1:51:59
M,49,4284,19,01/02/2020,1:23:07,116,01/02/2020,1:26:47
M,27,9613,24,01/02/2020,1:27:36,43,01/02/2020,1:40:52
M,46,10617,312,01/02/2020,1:28:11,123,01/02/2020,1:53:14
M,43,10776,115,01/02/2020,1:28:11,114,01/02/2020,1:33:13
M,40,10195,435,01/02/2020,1:30:01,298,01/02/2020,1:57:39
M,26,7957,43,01/02/2020,1:30:45,182,01/02/2020,1:50:35
M,22,7930,24,01/02/2020,1:33:49,52,01/02/2020,1:59:18
M,25,8524,140,01/02/2020,1:34:55,47,01/02/2020,1:49:21
M,24,10746,63,01/02/2020,1:36:25,47,01/02/2020,1:41:07
M,30,4241,73,01/02/2020,1:36:55,450,01/02/2020,1:50:49
M,32,9321,130,01/02/2020,1:41:03,170,01/02/2020,2:06:45
M,26,6885,52,01/02/2020,1:41:31,52,01/02/2020,1:50:16
M,30,9098,61,01/02/2020,1:44:36,142,01/02/2020,2:13:54
M,29,10657,414,01/02/2020,1:48:22,425,01/02/2020,1:54:08
M,30,7484,324,01/02/2020,1:48:33,325,01/02/2020,1:51:28
F,29,12295,414,01/02/2020,1:49:43,425,01/02/2020,1:54:25
M,36,8096,41,01/02/2020,1:51:16,41,01/02/2020,1:57:50
M,17,15236,155,01/02/2020,1:53:13,300,01/02/2020,2:03:27
M,48,8922,30,01/02/2020,1:54:25,30,01/02/2020,6:00:23
M,56,10953,38,01/02/2020,1:57:27,23,01/02/2020,2:03:19
M,26,9593,134,01/02/2020,1:58:45,143,01/02/2020,2:02:31
M,28,10393,312,01/02/2020,1:58:59,47,01/02/2020,2:09:54
M,40,11762,298,01/02/2020,1:59:52,298,01/02/2020,2:17:58
M,30,7243,74,01/02/2020,2:04:27,44,01/02/2020,2:12:12
M,32,9685,167,01/02/2020,2:06:28,165,01/02/2020,2:15:58
M,26,9764,127,01/02/2020,2:11:44,276,01/02/2020,2:38:26
M,24,12308,119,01/02/2020,2:14:37,127,01/02/2020,2:59:52
M,27,11760,43,01/02/2020,2:20:40,276,01/02/2020,2:48:08
M,23,11751,69,01/02/2020,2:24:12,53,01/02/2020,2:33:43
M,27,12406,134,01/02/2020,2:26:33,53,01/02/2020,2:38:19
M,50,8213,68,01/02/2020,2:37:40,332,01/02/2020,2:55:04
M,19,10822,135,01/02/2020,2:44:05,65,01/02/2020,3:05:53
M,25,11935,47,01/02/2020,2:49:47,49,01/02/2020,2:55:14
M,27,7137,276,01/02/2020,2:51:47,34,01/02/2020,3:22:14
M,32,10023,9,01/02/2020,2:53:39,350,01/02/2020,3:31:00
M,54,7729,53,01/02/2020,2:55:28,317,01/02/2020,3:11:33
M,26,8756,425,01/02/2020,2:55:42,372,01/02/2020,3:03:26
M,56,11810,342,01/02/2020,2:56:45,278,01/02/2020,3:35:51
M,41,6829,47,01/02/2020,2:57:34,187,01/02/2020,3:15:22
M,37,11539,129,01/02/2020,2:58:38,1,01/02/2020,3:07:59
M,24,11763,64,01/02/2020,5:00:26,281,01/02/2020,5:22:28
M,69,12408,47,01/02/2020,5:09:43,37,01/02/2020,5:14:58
M,43,10834,85,01/02/2020,5:14:52,25,01/02/2020,5:19:59
M,52,15218,160,01/02/2020,5:24:50,467,01/02/2020,5:35:50
M,19,8227,258,01/02/2020,5:29:18,63,01/02/2020,5:32:49
M,40,10450,68,01/02/2020,5:37:23,12,01/02/2020,5:52:47
F,53,9353,49,01/02/2020,5:37:26,24,01/02/2020,5:46:57
M,29,10462,332,01/02/2020,5:39:48,330,01/02/2020,5:43:28
M,39,11065,474,01/02/2020,5:40:09,471,01/02/2020,5:48:21
M,37,4248,52,01/02/2020,5:45:23,173,01/02/2020,6:10:57
M,35,9161,48,01/02/2020,5:46:00,99,01/02/2020,9:42:13
F,21,15213,190,01/02/2020,5:47:20,241,01/02/2020,6:09:42
F,50,12387,345,01/02/2020,5:47:36,342,01/02/2020,5:53:22
F,27,12138,28,01/02/2020,5:48:12,6,01/02/2020,5:54:51
M,27,11198,106,01/02/2020,5:48:48,144,01/02/2020,6:01:19
M,37,10855,422,01/02/2020,5:49:27,432,01/02/2020,5:55:32
M,36,6799,256,01/02/2020,5:49:31,151,01/02/2020,6:01:56
M,32,11837,337,01/02/2020,5:50:05,435,01/02/2020,5:57:59
M,30,7283,310,01/02/2020,5:52:27,284,01/02/2020,5:57:01
M,59,15011,175,01/02/2020,5:53:21,247,01/02/2020,6:06:51
M,26,9003,285,01/02/2020,5:53:38,167,01/02/2020,5:57:09
M,40,12043,44,01/02/2020,5:54:46,47,01/02/2020,5:58:03
M,30,6931,402,01/02/2020,5:56:18,428,01/02/2020,6:00:43
M,30,7606,41,01/02/2020,5:56:27,107,01/02/2020,6:01:35
F,56,10511,439,01/02/2020,5:57:14,381,01/02/2020,6:10:06
M,29,15068,108,01/02/2020,5:58:13,260,01/02/2020,6:02:55
M,49,9132,63,01/02/2020,6:00:09,63,01/02/2020,6:11:49
M,33,9503,309,01/02/2020,6:00:21,142,01/02/2020,6:11:23
M,19,9168,63,01/02/2020,6:00:22,63,01/02/2020,6:05:56
M,30,9964,390,01/02/2020,6:01:06,396,01/02/2020,6:07:11
M,27,11059,144,01/02/2020,6:02:26,141,01/02/2020,6:06:19
M,27,7529,458,01/02/2020,6:02:48,182,01/02/2020,6:22:23
M,29,8732,145,01/02/2020,6:04:59,107,01/02/2020,6:15:23
M,39,8555,471,01/02/2020,6:05:11,474,01/02/2020,6:12:52
M,26,10679,36,01/02/2020,6:05:49,188,01/02/2020,6:16:17
M,59,7153,440,01/02/2020,6:09:23,432,01/02/2020,6:13:56
M,50,9174,68,01/02/2020,6:10:23,77,01/02/2020,6:13:58
M,22,12396,17,01/02/2020,6:10:34,8,01/02/2020,6:24:40
M,62,8496,230,01/02/2020,6:10:52,237,01/02/2020,6:15:05
M,64,12506,23,01/02/2020,6:10:54,23,01/02/2020,6:21:27
M,25,12422,173,01/02/2020,6:11:46,130,01/02/2020,6:27:23
M,30,11032,396,01/02/2020,6:11:57,398,01/02/2020,6:15:42
M,46,11658,27,01/02/2020,6:12:46,2,01/02/2020,6:18:29
M,26,11272,107,01/02/2020,6:13:32,113,01/02/2020,6:16:29
M,43,9897,398,01/02/2020,6:15:06,337,01/02/2020,6:24:01
M,46,10201,32,01/02/2020,6:15:10,452,01/02/2020,6:29:02
M,31,11530,402,01/02/2020,6:19:07,431,01/02/2020,6:25:37
M,24,12036,113,01/02/2020,6:19:10,120,01/02/2020,6:22:20
M,30,12178,107,01/02/2020,6:19:29,113,01/02/2020,6:23:14
M,25,3808,271,01/02/2020,6:19:35,43,01/02/2020,6:27:31
M,32,1825,25,01/02/2020,6:20:49,111,01/02/2020,6:29:17
M,44,11848,96,01/02/2020,6:21:53,29,01/02/2020,6:29:17
F,25,9888,72,01/02/2020,6:21:53,180,01/02/2020,6:27:17
F,28,4207,323,01/02/2020,6:21:57,340,01/02/2020,6:26:03
M,26,9059,63,01/02/2020,6:22:42,40,01/02/2020,6:30:31
M,39,11867,107,01/02/2020,6:22:45,113,01/02/2020,6:28:09
M,32,12389,262,01/02/2020,6:23:09,134,01/02/2020,6:45:41
M,34,4378,191,01/02/2020,6:24:02,188,01/02/2020,6:26:38
M,56,8954,346,01/02/2020,6:24:45,337,01/02/2020,6:30:06
M,33,10033,369,01/02/2020,6:25:20,398,01/02/2020,6:33:06
F,46,12489,44,01/02/2020,6:25:27,72,01/02/2020,6:33:27
M,38,8487,169,01/02/2020,6:25:51,182,01/02/2020,6:27:31
M,72,10518,151,01/02/2020,6:26:36,258,01/02/2020,6:40:35
M,32,7279,124,01/02/2020,6:26:38,124,01/02/2020,6:36:00
M,60,7313,270,01/02/2020,6:27:26,26,01/02/2020,6:31:00
M,52,10592,15,01/02/2020,6:28:12,53,01/02/2020,6:38:04
M,24,11671,398,01/02/2020,6:29:15,385,01/02/2020,6:37:20
M,53,7312,274,01/02/2020,6:30:12,82,01/02/2020,6:37:15
M,37,12521,276,01/02/2020,6:30:34,301,01/02/2020,6:43:41
M,23,6822,386,01/02/2020,6:31:35,177,01/02/2020,6:47:37
M,36,8658,4,01/02/2020,6:32:03,30,01/02/2020,6:38:07
F,28,9130,154,01/02/2020,6:32:16,156,01/02/2020,6:35:47
M,33,10166,259,01/02/2020,6:33:06,113,01/02/2020,6:40:26
M,43,11402,271,01/02/2020,6:33:32,123,01/02/2020,6:45:55
F,41,7248,357,01/02/2020,6:34:01,359,01/02/2020,6:39:50
F,55,10279,271,01/02/2020,6:34:32,84,01/02/2020,7:02:41
M,53,10770,271,01/02/2020,6:34:43,84,01/02/2020,7:02:54
M,18,9849,271,01/02/2020,6:34:52,84,01/02/2020,7:02:45
M,27,11419,4,01/02/2020,6:35:38,226,01/02/2020,6:48:34
M,39,9668,26,01/02/2020,6:35:51,271,01/02/2020,6:43:31
M,26,7865,337,01/02/2020,6:36:13,413,01/02/2020,6:45:52
M,41,9276,26,01/02/2020,6:36:26,271,01/02/2020,6:43:38
M,36,6919,351,01/02/2020,6:36:36,334,01/02/2020,6:43:35
M,27,7098,197,01/02/2020,6:36:40,465,01/02/2020,6:44:46
M,55,7111,212,01/02/2020,6:36:40,29,01/02/2020,6:58:16
M,44,12430,35,01/02/2020,6:37:27,232,01/02/2020,6:47:45
M,37,7134,340,01/02/2020,6:37:54,286,01/02/2020,6:56:39
F,44,8311,35,01/02/2020,6:38:04,270,01/02/2020,6:51:56
F,34,11094,174,01/02/2020,6:38:49,271,01/02/2020,6:47:31
F,24,7568,373,01/02/2020,6:39:02,436,01/02/2020,6:49:16
M,20,11738,384,01/02/2020,6:39:28,177,01/02/2020,7:02:16
M,40,7004,66,01/02/2020,6:39:39,216,01/02/2020,7:00:43
F,31,8483,183,01/02/2020,6:40:09,16,01/02/2020,6:47:22
M,24,8258,52,01/02/2020,6:40:30,1,01/02/2020,6:54:50
M,27,2479,284,01/02/2020,6:41:29,355,01/02/2020,6:50:29
M,28,9172,204,01/02/2020,6:41:38,199,01/02/2020,6:47:12
M,31,11280,145,01/02/2020,6:41:58,116,01/02/2020,6:50:13
M,37,8652,237,01/02/2020,6:42:37,233,01/02/2020,6:45:59
M,26,11603,50,01/02/2020,6:42:42,157,01/02/2020,6:52:12
M,61,11206,194,01/02/2020,6:42:58,194,01/02/2020,7:22:19
F,38,12262,253,01/02/2020,6:43:40,89,01/02/2020,7:12:02
F,41,9544,140,01/02/2020,6:44:04,127,01/02/2020,6:49:30
M,44,6950,204,01/02/2020,6:44:15,197,01/02/2020,6:51:50
F,25,10778,138,01/02/2020,6:44:27,130,01/02/2020,6:48:38
M,40,9537,126,01/02/2020,6:45:19,123,01/02/2020,6:50:19
F,30,8973,5,01/02/2020,6:45:20,31,01/02/2020,6:50:40
F,21,11903,72,01/02/2020,6:45:27,107,01/02/2020,6:58:32
M,41,10336,140,01/02/2020,6:46:07,138,01/02/2020,7:09:32
M,42,8441,465,01/02/2020,6:46:20,242,01/02/2020,6:53:51
M,31,3833,34,01/02/2020,6:46:36,11,01/02/2020,6:52:18
M,41,4196,402,01/02/2020,6:46:41,45,01/02/2020,7:04:25
F,29,1909,271,01/02/2020,6:47:06,270,01/02/2020,6:50:34
M,27,6928,465,01/02/2020,6:48:01,271,01/02/2020,7:09:02
M,26,7813,329,01/02/2020,6:48:38,68,01/02/2020,6:59:07
M,59,11958,418,01/02/2020,6:48:46,208,01/02/2020,7:25:42
M,26,11764,271,01/02/2020,6:48:52,238,01/02/2020,7:16:22
M,40,8458,466,01/02/2020,6:48:55,242,01/02/2020,6:56:23
F,19,11247,119,01/02/2020,6:49:26,110,01/02/2020,6:58:26
M,46,7047,43,01/02/2020,6:50:09,95,01/02/2020,6:56:39
M,35,6894,258,01/02/2020,6:51:10,68,01/02/2020,7:03:29
M,50,12416,119,01/02/2020,6:51:25,118,01/02/2020,6:53:06
M,33,8571,292,01/02/2020,6:51:32,276,01/02/2020,6:57:38
M,26,7444,211,01/02/2020,6:51:51,217,01/02/2020,6:54:26
M,35,7093,281,01/02/2020,6:52:26,475,01/02/2020,7:17:37
M,55,7620,450,01/02/2020,6:52:36,125,01/02/2020,7:00:34
M,23,12000,298,01/02/2020,6:52:36,295,01/02/2020,6:55:35
M,34,7379,124,01/02/2020,6:52:43,263,01/02/2020,7:01:01
F,59,7820,111,01/02/2020,6:52:47,268,01/02/2020,7:03:40
M,31,4242,106,01/02/2020,6:53:27,43,01/02/2020,7:08:15
M,32,8147,86,01/02/2020,6:54:04,86,01/02/2020,6:56:15
M,59,6992,385,01/02/2020,6:54:07,383,01/02/2020,6:57:06
M,24,10971,208,01/02/2020,6:54:13,462,01/02/2020,7:03:14
M,49,10608,164,01/02/2020,6:54:15,295,01/02/2020,7:02:53
F,36,11480,84,01/02/2020,6:54:20,80,01/02/2020,6:56:30
M,37,9065,272,01/02/2020,6:54:44,256,01/02/2020,7:00:07
F,19,4325,60,01/02/2020,6:54:52,72,01/02/2020,6:57:16
M,57,4206,100,01/02/2020,6:55:16,112,01/02/2020,7:11:31
M,23,9106,258,01/02/2020,6:55:18,447,01/02/2020,6:57:27
M,50,8057,119,01/02/2020,6:56:33,121,01/02/2020,6:59:28
M,19,10779,32,01/02/2020,6:56:36,259,01/02/2020,7:10:40
M,30,7246,251,01/02/2020,6:56:42,23,01/02/2020,6:59:39
M,24,3869,87,01/02/2020,6:57:04,89,01/02/2020,7:03:03
F,39,11152,226,01/02/2020,6:57:25,231,01/02/2020,7:03:55
M,32,11799,249,01/02/2020,6:57:56,480,01/02/2020,7:05:51
F,29,11082,2,01/02/2020,6:57:58,9,01/02/2020,7:00:29
M,32,12150,28,01/02/2020,6:58:25,7,01/02/2020,7:00:28
M,33,8385,165,01/02/2020,6:58:51,69,01/02/2020,7:03:46
M,32,11506,86,01/02/2020,6:59:04,4,01/02/2020,7:07:08
F,30,9813,151,01/02/2020,6:59:47,158,01/02/2020,7:04:15
F,25,7755,242,01/02/2020,7:00:01,230,01/02/2020,7:06:23
M,37,9153,174,01/02/2020,7:00:04,183,01/02/2020,7:02:55
F,27,7000,35,01/02/2020,7:00:14,11,01/02/2020,7:05:38
M,33,9459,74,01/02/2020,7:00:47,64,01/02/2020,7:04:58
M,37,12084,256,01/02/2020,7:01:21,23,01/02/2020,7:12:57
F,21,8851,131,01/02/2020,7:01:43,271,01/02/2020,7:20:35
M,30,8734,173,01/02/2020,7:01:44,186,01/02/2020,7:11:32
F,24,12369,208,01/02/2020,7:02:04,196,01/02/2020,7:06:02
M,44,7571,199,01/02/2020,7:02:09,461,01/02/2020,7:13:36
M,33,10072,124,01/02/2020,7:02:45,80,01/02/2020,7:15:43
M,51,12339,236,01/02/2020,7:03:49,238,01/02/2020,7:09:49
F,36,6892,183,01/02/2020,7:03:54,256,01/02/2020,7:08:23
F,30,7195,40,01/02/2020,7:04:06,68,01/02/2020,7:10:53
M,49,11708,385,01/02/2020,7:04:20,334,01/02/2020,7:14:54
M,29,12428,319,01/02/2020,7:04:47,295,01/02/2020,7:08:08
F,29,8133,291,01/02/2020,7:05:19,317,01/02/2020,7:08:40
F,30,8699,57,01/02/2020,7:05:20,146,01/02/2020,7:11:43
M,58,11924,52,01/02/2020,7:05:42,123,01/02/2020,7:15:23
M,30,10304,165,01/02/2020,7:05:49,158,01/02/2020,7:09:59
M,50,12362,321,01/02/2020,7:06:10,374,01/02/2020,7:21:23
M,30,12148,26,01/02/2020,7:06:28,271,01/02/2020,7:12:05
M,40,7638,32,01/02/2020,7:06:30,217,01/02/2020,7:21:23
M,36,4054,34,01/02/2020,7:08:13,1,01/02/2020,7:15:42
M,29,12368,14,01/02/2020,7:08:43,27,01/02/2020,7:25:30
M,26,15313,257,01/02/2020,7:08:44,241,01/02/2020,7:26:54
M,38,9944,28,01/02/2020,7:09:02,248,01/02/2020,7:17:30
F,39,8492,66,01/02/2020,7:09:16,80,01/02/2020,7:12:47
F,33,11563,477,01/02/2020,7:09:26,271,01/02/2020,7:36:50
M,31,10810,233,01/02/2020,7:09:31,77,01/02/2020,7:38:49
M,30,11872,94,01/02/2020,7:09:36,134,01/02/2020,7:26:29
M,22,11564,429,01/02/2020,7:09:43,402,01/02/2020,7:15:29
M,29,10115,62,01/02/2020,7:10:20,177,01/02/2020,7:13:58
F,31,12112,168,01/02/2020,7:10:31,286,01/02/2020,7:14:53
M,66,11887,41,01/02/2020,7:10:52,18,01/02/2020,7:36:44
M,26,8548,174,01/02/2020,7:11:20,119,01/02/2020,7:21:57
M,34,10987,78,01/02/2020,7:11:31,78,01/02/2020,7:18:56
F,35,11570,320,01/02/2020,7:11:43,28,01/02/2020,7:33:29
F,22,9624,256,01/02/2020,7:11:51,47,01/02/2020,7:23:13
F,41,8701,320,01/02/2020,7:11:56,39,01/02/2020,7:28:23
M,43,7631,183,01/02/2020,7:12:11,99,01/02/2020,7:24:54
M,34,4236,298,01/02/2020,7:13:00,329,01/02/2020,7:28:18
M,56,7833,39,01/02/2020,7:13:05,26,01/02/2020,7:23:09
M,59,9442,37,01/02/2020,7:13:06,136,01/02/2020,7:19:58
M,43,6978,470,01/02/2020,7:14:41,17,01/02/2020,7:26:48
M,51,9830,1,01/02/2020,7:14:54,86,01/02/2020,7:18:38
M,26,9421,396,01/02/2020,7:15:16,337,01/02/2020,7:26:49
M,61,8035,57,01/02/2020,7:15:55,53,01/02/2020,7:17:56
M,40,8889,67,01/02/2020,7:15:59,51,01/02/2020,7:21:00
F,33,11022,228,01/02/2020,7:15:59,213,01/02/2020,7:22:09
M,43,7012,259,01/02/2020,7:16:23,183,01/02/2020,7:22:27
F,22,9967,271,01/02/2020,7:16:31,475,01/02/2020,7:33:41
F,29,11546,382,01/02/2020,7:16:48,336,01/02/2020,7:32:02
M,58,9282,271,01/02/2020,7:16:53,10,01/02/2020,7:22:44
M,64,11781,337,01/02/2020,7:17:01,314,01/02/2020,7:24:14
M,39,11561,465,01/02/2020,7:17:11,197,01/02/2020,7:23:28
F,46,2933,119,01/02/2020,7:17:24,112,01/02/2020,7:21:30
M,38,11582,32,01/02/2020,7:18:05,20,01/02/2020,7:25:57
M,25,9699,407,01/02/2020,7:18:24,398,01/02/2020,7:23:22
M,30,10796,163,01/02/2020,7:18:54,162,01/02/2020,7:21:44
